"","country","Event","id","Participant"
"1","NG","Media event","participantDetails1",NA
"2","NG","Media event","participantDetails1",NA
"3","NG","Media event","participantDetails1",NA
"4","NG","Media event","participantDetails1",NA
"5","NG","Media event","participantDetails1",NA
"6","NG","Media event","participantDetails1",NA
"7","TZ","Media event","participantDetails1",NA
"8","NG","Media event","participantDetails1",NA
"9","NG","Media event","participantDetails1",NA
"10","NG","Media event","participantDetails1",NA
"11","NG","Media event","participantDetails1",NA
"12","NG","Media event","participantDetails1",NA
"13","NG","Media event","participantDetails1",NA
"14","NG","Media event","participantDetails1",NA
"15","NG","Media event","participantDetails2",NA
"16","NG","Media event","participantDetails2",NA
"17","NG","Media event","participantDetails2",NA
"18","NG","Media event","participantDetails2",NA
"19","NG","Media event","participantDetails2",NA
"20","NG","Media event","participantDetails2",NA
"21","TZ","Media event","participantDetails2",NA
"22","NG","Media event","participantDetails2",NA
"23","NG","Media event","participantDetails2",NA
"24","NG","Media event","participantDetails2",NA
"25","NG","Media event","participantDetails2",NA
"26","NG","Media event","participantDetails2",NA
"27","NG","Media event","participantDetails2",NA
"28","NG","Media event","participantDetails2",NA
"29","NG","Media event","participantDetails3",NA
"30","NG","Media event","participantDetails3",NA
"31","NG","Media event","participantDetails3",NA
"32","NG","Media event","participantDetails3",NA
"33","NG","Media event","participantDetails3",NA
"34","NG","Media event","participantDetails3",NA
"35","TZ","Media event","participantDetails3",NA
"36","NG","Media event","participantDetails3",NA
"37","NG","Media event","participantDetails3",NA
"38","NG","Media event","participantDetails3",NA
"39","NG","Media event","participantDetails3",NA
"40","NG","Media event","participantDetails3",NA
"41","NG","Media event","participantDetails3",NA
"42","NG","Media event","participantDetails3",NA
"43","NG","Media event","participantDetails4",NA
"44","NG","Media event","participantDetails4",NA
"45","NG","Media event","participantDetails4",NA
"46","NG","Media event","participantDetails4",NA
"47","NG","Media event","participantDetails4",NA
"48","NG","Media event","participantDetails4",NA
"49","TZ","Media event","participantDetails4",NA
"50","NG","Media event","participantDetails4",NA
"51","NG","Media event","participantDetails4",NA
"52","NG","Media event","participantDetails4",NA
"53","NG","Media event","participantDetails4",NA
"54","NG","Media event","participantDetails4",NA
"55","NG","Media event","participantDetails4",NA
"56","NG","Media event","participantDetails4",NA
"57","NG","Media event","participantDetails5",NA
"58","NG","Media event","participantDetails5",NA
"59","NG","Media event","participantDetails5",NA
"60","NG","Media event","participantDetails5",NA
"61","NG","Media event","participantDetails5",NA
"62","NG","Media event","participantDetails5",NA
"63","TZ","Media event","participantDetails5",NA
"64","NG","Media event","participantDetails5",NA
"65","NG","Media event","participantDetails5",NA
"66","NG","Media event","participantDetails5",NA
"67","NG","Media event","participantDetails5",NA
"68","NG","Media event","participantDetails5",NA
"69","NG","Media event","participantDetails5",NA
"70","NG","Media event","participantDetails5",NA
"71","NG","Media event","participantDetails6",NA
"72","NG","Media event","participantDetails6",NA
"73","NG","Media event","participantDetails6",NA
"74","NG","Media event","participantDetails6",NA
"75","NG","Media event","participantDetails6",NA
"76","NG","Media event","participantDetails6",NA
"77","TZ","Media event","participantDetails6",NA
"78","NG","Media event","participantDetails6",NA
"79","NG","Media event","participantDetails6",NA
"80","NG","Media event","participantDetails6",NA
"81","NG","Media event","participantDetails6",NA
"82","NG","Media event","participantDetails6",NA
"83","NG","Media event","participantDetails6",NA
"84","NG","Media event","participantDetails6",NA
"85","NG","Media event","participantDetails7",NA
"86","NG","Media event","participantDetails7",NA
"87","NG","Media event","participantDetails7",NA
"88","NG","Media event","participantDetails7",NA
"89","NG","Media event","participantDetails7",NA
"90","NG","Media event","participantDetails7",NA
"91","TZ","Media event","participantDetails7",NA
"92","NG","Media event","participantDetails7",NA
"93","NG","Media event","participantDetails7",NA
"94","NG","Media event","participantDetails7",NA
"95","NG","Media event","participantDetails7",NA
"96","NG","Media event","participantDetails7",NA
"97","NG","Media event","participantDetails7",NA
"98","NG","Media event","participantDetails7",NA
"99","NG","Media event","participantDetails8",NA
"100","NG","Media event","participantDetails8",NA
"101","NG","Media event","participantDetails8",NA
"102","NG","Media event","participantDetails8",NA
"103","NG","Media event","participantDetails8",NA
"104","NG","Media event","participantDetails8",NA
"105","TZ","Media event","participantDetails8",NA
"106","NG","Media event","participantDetails8",NA
"107","NG","Media event","participantDetails8",NA
"108","NG","Media event","participantDetails8",NA
"109","NG","Media event","participantDetails8",NA
"110","NG","Media event","participantDetails8",NA
"111","NG","Media event","participantDetails8",NA
"112","NG","Media event","participantDetails8",NA
"113","NG","Media event","participantDetails9",NA
"114","NG","Media event","participantDetails9",NA
"115","NG","Media event","participantDetails9",NA
"116","NG","Media event","participantDetails9",NA
"117","NG","Media event","participantDetails9",NA
"118","NG","Media event","participantDetails9",NA
"119","TZ","Media event","participantDetails9",NA
"120","NG","Media event","participantDetails9",NA
"121","NG","Media event","participantDetails9",NA
"122","NG","Media event","participantDetails9",NA
"123","NG","Media event","participantDetails9",NA
"124","NG","Media event","participantDetails9",NA
"125","NG","Media event","participantDetails9",NA
"126","NG","Media event","participantDetails9",NA
